Year,State,Population
1997,Kelantan,2628800
1997,Melaka,1217600
1997,Negeri Sembilan,1636000
1997,Pahang,2449400
1997,Perak,4110599
1997,Perlis,404100
1997,Pulau Pinang,2518000
1997,Sabah,4667400
1997,Sarawak,3884800
1997,Selangor,7143800
1997,Terengganu,1760900
1997,W.P. Kuala Lumpur,2712800
1997,W.P. Labuan,135400
1998,Johor,5263400
1998,Kedah,3202400
1998,Kelantan,2657800
1998,Melaka,1241100
1998,Negeri Sembilan,1666900
1998,Pahang,2497600
1998,Perak,4132397
1998,Perlis,407700
1998,Pulau Pinang,2565400
1998,Sabah,4847100
1998,Sarawak,3964300
1998,Selangor,7555000
1998,Terengganu,1779100
1998,W.P. Kuala Lumpur,2746000
1998,W.P. Labuan,140900
1999,Johor,5398800
1999,Kedah,3273000
1999,Kelantan,2689400
1999,Melaka,1266200
1999,Negeri Sembilan,1699000
1999,Pahang,2545000
1999,Perak,4153399
1999,Perlis,411400
1999,Pulau Pinang,2615000
1999,Sabah,5027000
1999,Sarawak,4049100
1999,Selangor,7963800
1999,Terengganu,1793200
1999,W.P. Kuala Lumpur,2788000
1999,W.P. Labuan,146600
2000,Johor,5525100
2000,Kedah,3343800
2000,Kelantan,2722900
2000,Melaka,1293200
2000,Negeri Sembilan,1732100
2000,Pahang,2591600
2000,Perak,4183399
2000,Perlis,415200
2000,Pulau Pinang,2665400
2000,Sabah,5206900
2000,Sarawak,4143000
2000,Selangor,8377799
2000,Terengganu,1805200
2000,W.P. Kuala Lumpur,2832000
2000,W.P. Labuan,152200
2001,Johor,5659800
2001,Kedah,3407900
2001,Kelantan,2780000
2001,Melaka,1331600
2001,Negeri Sembilan,1767400
2001,Pahang,2634600
2001,Perak,4258100
2001,Perlis,420800
2001,Pulau Pinang,2722000
2001,Sabah,5326600
2001,Sarawak,4231200
2001,Selangor,8635000
2001,Terengganu,1839900
2001,W.P. Kuala Lumpur,2892400
2001,W.P. Labuan,154000
2002,Johor,5787200
2002,Kedah,3469500
2002,Kelantan,2833400
2002,Melaka,1368100
2002,Negeri Sembilan,1800600
2002,Pahang,2677400
2002,Perak,4323600
2002,Perlis,426400
2002,Pulau Pinang,2774600
2002,Sabah,5438200
2002,Sarawak,4316500
2002,Selangor,8892500
2002,Terengganu,1873200
2002,W.P. Kuala Lumpur,2948200
2002,W.P. Labuan,155600
2003,Johor,5908000
2003,Kedah,3527400
2003,Kelantan,2881000
2003,Melaka,1403500
2003,Negeri Sembilan,1833600
2003,Pahang,2720000
2003,Perak,4384200
2003,Perlis,432000
2003,Pulau Pinang,2824400
2003,Sabah,5548000
2003,Sarawak,4398000
2003,Selangor,9154600
2003,Terengganu,1902800
2003,W.P. Kuala Lumpur,3001000
2003,W.P. Labuan,157500
2004,Johor,6029300
2004,Kedah,3584800
2004,Kelantan,2927600
2004,Melaka,1439600
2004,Negeri Sembilan,1867400
2004,Pahang,2760500
2004,Perak,4444200
2004,Perlis,437600
2004,Pulau Pinang,2873200
2004,Sabah,5666900
2004,Sarawak,4480800
2004,Selangor,9425600
2004,Terengganu,1933200
2004,W.P. Kuala Lumpur,3052800
